ENTIDAD,NOMBRE_ENTIDAD,DISTRITO_FEDERAL,DISTRITO_LOCAL,MUNICIPIO,SECCION
19,NUEVO LEON,4,9,47,1954
19,NUEVO LEON,4,9,47,1955
19,NUEVO LEON,4,9,47,1956
19,NUEVO LEON,4,9,47,1957
19,NUEVO LEON,4,9,47,1958
19,NUEVO LEON,4,9,47,1959
19,NUEVO LEON,4,9,47,1960
19,NUEVO LEON,4,9,47,1961
19,NUEVO LEON,4,9,47,1962
19,NUEVO LEON,4,9,47,1963
19,NUEVO LEON,4,9,47,1964
19,NUEVO LEON,4,9,47,1965
19,NUEVO LEON,4,9,47,1966
19,NUEVO LEON,4,9,47,1967
19,NUEVO LEON,4,9,47,1968
19,NUEVO LEON,4,9,47,1969
19,NUEVO LEON,4,9,47,1970
19,NUEVO LEON,4,9,47,1971
19,NUEVO LEON,4,9,47,1972
19,NUEVO LEON,4,9,47,1973
19,NUEVO LEON,4,9,47,1975
19,NUEVO LEON,4,9,47,1976
19,NUEVO LEON,4,9,47,1977
19,NUEVO LEON,4,9,47,1978
19,NUEVO LEON,4,9,47,1979
19,NUEVO LEON,4,9,47,1980
19,NUEVO LEON,4,9,47,1981
19,NUEVO LEON,4,9,47,1982
19,NUEVO LEON,4,9,47,1983
19,NUEVO LEON,4,9,47,1984
19,NUEVO LEON,4,9,47,1985
